0	"We are proud to serve LaCroix to our families, in our hospitals, and in our schools.  Please stand with us as we defend our beloved LaCroix."
1	Are you ready to feel some love today? 💕 We’re ready to show it by giving away 50 of these LaCroix rainbow pins! 🌈 To enter, tag someone 👇 that you want to share some love with! Giveaway ends tomorrow, June 16th at 9AM (EST). Winners will be notified on June 18-19th ✨ https://t.co/aUgYLVAQ8g
2	"Hi, guys! We’re so grateful for all the love and support you’ve given us throughout the years. Our main goal has always been to provide a product that’s a healthy alternative and make the world a healthier place."
3	LaCroix lovers, here are some facts we’d like you to know. 👉🏽👉🏽 SWIPE TO READ ✨✨ https://t.co/oTDVpjpAGV
4	"We’ve heard your comments and want to address all the misleading allegations. LaCroix sparkling water is a healthy beverage.  All ingredients in LaCroix are natural.  Allegations that claim otherwise are false and trouble us much as they trouble you. (2/3)"
5	@chai4chey Thank you for your message Cheyenne. We categorically deny all allegations. Natural flavors in LaCroix are derived from the natural essence oils from the named fruit used in each of the flavors. All essences contained in LaCroix are certified by our suppliers to be 100% natural.
6	Today is the longest day of the year so what does that mean? More time to sip on LaCroix! 🙌 To kick-off the 1st day of summer ☀️ we’re giving away FREE LaCroix! Tell us how you’re spending the day and we’ll select 7 random lucky winners 😎 Giveaway ends tomorrow at 10AM (EST) https://t.co/fG0zpnPDTI
7	"""I haven't tried LaCroix Water."" #DealbreakersIn5Words https://t.co/XsXRRm4lcV"
8	Hola! #NationalCoffeeDay #HispanicHeritageMonth ☕💃 https://t.co/LkhOYgCPFe
9	Let’s take a step back and look at all the facts. @VICE @munchies has all the details: https://t.co/hrvlv0RHkw
10	@Ryland_Adams Thank you for reaching out Ryland. We would like you to know that recent allegations regarding LaCroix ingredients are false – and trouble us as much as they trouble you. We are committed to providing a product that will make the world a healthier place.
11	We promise you LaCroix is committed to providing healthy enjoyment.  Check out this article by the Los Angeles Times “ . . . But the lawsuit looks like a crock.” https://t.co/SN6zCBHZ29
12	Thumbs up for Tangerine LaCroix! 👍🍊 (📸:@ctruff5) https://t.co/NyU9urmRmu
13	The Saturday essentials… #InnocentSips 😊💧 https://t.co/8l53d6pJLR
14	Happy Friday! ✨ Who’s sippin’ on some Pamplemousse LaCroix today? 💕 (🖌: @hellokristenlong) https://t.co/ZcwR4KWBQx
15	This Berry LaCroix is pawesome! 🐾💜 (📸:@ichbindestep) https://t.co/jmZDKUi6WN
16	"#MyLeastFavoritePhraseIs ""it's La-CWAH not La-CROY..."" https://t.co/0l6mHffYkR"
17	How many LaCroixs have you crushed today? We lost count… 🤔 (📸:@danarodriguezart) https://t.co/veDF2yYaOV
18	It’s a Tangerine party! 🍊😋 (🖌️:@cestriley) https://t.co/BwL57PYyUH
19	Pick your flavor… you can’t go wrong 😉 (📸:@elizabethboyeong) https://t.co/Z75UA6Tj3O
20	May your succulents be as hydrated as you are… 💧😜 (📸:@rogerlamchop) https://t.co/f0fYDRkQEq
21	The results are in! 😃 LaCroix essences confirmed as natural ✨ #EmbracingInnocence https://t.co/GFvN249cjM https://t.co/AUPgOTwReO
